contact_1,contact_2,label,id,is_explicit,is_stim_only,type_1,type_2,avg.region,avg.x,avg.y,avg.z,avg.dural.region,avg.dural.x,avg.dural.y,avg.dural.z,ind.region,ind.x,ind.y,ind.z,ind.dural.region,ind.dural.x,ind.dural.y,ind.dural.z,tal.region,tal.x,tal.y,tal.z,wb.region,wb.x,wb.y,wb.z,stein.region,stein.x,stein.y,stein.z,das.region,das.x,das.y,das.z,mni.x,mni.y,mni.z
16,17,3LD6-3LD7,3ld.6-3ld.7,False,False,D,D,middletemporal,-47.685,-31.105,-13.415,middletemporal,-47.685,-31.105,-13.415,inferiortemporal,-46.205,-3.26,-19.26,inferiortemporal,-46.205,-3.26,-19.26,,-48.1494,-25.9298,-10.57565,Left Cerebral White Matter,,,,,,,,,,,,-51.072050000000004,-23.59735,-15.77798214066545
17,18,3LD7-3LD8,3ld.7-3ld.8,False,False,D,D,middletemporal,-52.64,-32.48,-12.765,middletemporal,-52.64,-32.48,-12.765,inferiortemporal,-50.635,-4.64,-19.06,inferiortemporal,-50.635,-4.64,-19.06,,-53.04345,-27.2642,-9.853235,Left Cerebral White Matter,,,,,,,,,,,,-56.8707,-24.5105,-15.868879704429851
18,19,3LD8-3LD9,3ld.8-3ld.9,False,False,D,D,middletemporal,-58.43,-33.92,-11.39,middletemporal,-58.43,-33.92,-11.39,middletemporal,-55.85,-6.145,-18.26,middletemporal,-55.85,-6.145,-18.26,,-58.75935,-28.59285,-8.470555,Left MTG middle temporal gyrus,,,,Left Middle Temporal Gyrus,,,,,,,,-62.8135,-26.2887,-16.252139391659302
19,20,3LD9-3LD10,3ld.9-3ld.10,False,False,D,D,middletemporal,-63.67,-35.45,-10.34,middletemporal,-63.67,-35.45,-10.34,middletemporal,-60.555,-7.705,-17.725,middletemporal,-60.555,-7.705,-17.725,,-63.9308,-30.04805,-7.375775,Left MTG middle temporal gyrus,,,,Left Middle Temporal Gyrus,,,,,,,,-66.73904999999999,-28.6038,-14.91979682925265
21,22,2RD1-2RD2,2rd.1-2rd.2,False,False,D,D,,19.4,-8.975,-17.575,,19.4,-8.975,-17.575,,13.485,18.32,-17.61,,13.485,18.32,-17.61,,18.1702,-3.77044,-16.492,Right Amygdala,,,,Right Amy,,,,,,,,19.8488,-2.053555,-21.1776556151448
22,23,2RD2-2RD3,2rd.2-2rd.3,False,False,D,D,,24.86,-8.845,-16.77,,24.86,-8.845,-16.77,,18.305,18.415,-16.6,,18.305,18.415,-16.6,,23.5746,-3.54225,-15.8373,Right Amygdala,,,,Right Amy,,,,,,,,24.57445,-2.1515199999999997,-20.67763181727615
23,24,2RD3-2RD4,2rd.3-2rd.4,False,False,D,D,,30.32,-8.715,-15.97,,30.32,-8.715,-15.97,,23.12,18.51,-15.59,,23.12,18.51,-15.59,,28.979,-3.31401,-15.18265,Right Cerebral White Matter,,,,,,,,,,,,29.782249999999998,-1.9895450000000001,-19.74085249223065
24,25,2RD4-2RD5,2rd.4-2rd.5,False,False,D,D,,36.06,-8.68,-15.5,,36.06,-8.68,-15.5,insula,28.205,18.55,-14.865,insula,28.205,18.55,-14.865,,34.6572,-3.21129,-14.8192,Right Cerebral White Matter,,,,,,,,,,,,35.711749999999995,-2.137735,-18.701083251874202
25,26,2RD5-2RD6,2rd.5-2rd.6,False,False,D,D,superiortemporal,41.245,-9.135,-14.895,superiortemporal,41.245,-9.135,-14.895,insula,32.795,18.11,-14.1,insula,32.795,18.11,-14.1,,39.7874,-3.59906,-14.2999,Right Cerebral White Matter,,,,,,,,,,,,40.686899999999994,-2.90182,-17.10209705385595
26,27,2RD6-2RD7,2rd.6-2rd.7,False,False,D,D,superiortemporal,46.165,-9.675,-14.64,superiortemporal,46.165,-9.675,-14.64,superiortemporal,37.165,17.615,-13.66,superiortemporal,37.165,17.615,-13.66,,44.6505,-4.110255,-14.07835,Right Cerebral White Matter,,,,,,,,,,,,45.04774999999999,-3.465415,-15.1715780116985
27,28,2RD7-2RD8,2rd.7-2rd.8,False,False,D,D,superiortemporal,51.625,-9.55,-13.84,superiortemporal,51.625,-9.55,-13.84,superiortemporal,41.985,17.71,-12.65,superiortemporal,41.985,17.71,-12.65,,50.05485,-3.88205,-13.4237,Right STG superior temporal gyrus,,,,,,,,,,,,50.74505,-3.9601499999999996,-13.03626714352355
